title,category,authors,year,venue,ee,url
AutoMPC: Efficient Multi-Party Computation for Secure and Privacy-Preserving Cooperative Control of Connected Autonomous Vehicles.,ROBOT;PRIVACY,Tao Li 0019; Lei Lin; Siyuan Gong,2019,SafeAI@AAAI,https://ceur-ws.org/Vol-2301/paper_13.pdf,https://dblp.org/db/conf/aaai/safeai2019.html#LiLG19
Design of Federated Learning Engagement Method for Autonomous Vehicle Privacy Protection.,ROBOT;PRIVACY,Jung-Sook Kim,2022,SCIS/ISIS,https://doi.org/10.1109/SCISISIS55246.2022.10001931,https://dblp.org/db/conf/scisisis/scisisis2022.html#Kim22a
Design of Federated Learning Engagement Method for Autonomous Vehicle Privacy Protection.,ROBOT;PRIVACY,Jung-Sook Kim,2022,SCIS/ISIS,https://doi.org/10.1109/SCISISIS55246.2022.10001889,https://dblp.org/db/conf/scisisis/scisisis2022.html#Kim22
Enhancing Security and Privacy in Federated Learning for Connected Autonomous Vehicles With Lightweight Blockchain and Binius ZeroKnowledge Proofs.,ROBOT;PRIVACY,Ny Hasina Andriambelo; Naghmeh Moradpoor,2024,SIN,https://doi.org/10.1109/SIN63213.2024.10871337,https://dblp.org/db/conf/sin/sin2024.html#AndriambeloM24
Benchmarking Consumer Data and Privacy Knowledge in Connected and Autonomous Vehicles.,ROBOT;PRIVACY,Flora Barber; Steven Furnell,2022,ICISSP,https://doi.org/10.5220/0010862000003120,https://dblp.org/db/conf/icissp/icissp2022.html#BarberF22
Evaluating Consumer Understanding and Awareness of Connected and Autonomous Vehicle Data Privacy.,ROBOT;PRIVACY,Flora Barber; Steven Furnell,2022,ICISSP (Revised Selected Papers),https://doi.org/10.1007/978-3-031-37807-2_3,https://dblp.org/db/conf/icissp/icissp2022s.html#BarberF22a
Privacy Impact Assessment of Cyber Attacks on Connected and Autonomous Vehicles.,ROBOT;PRIVACY,Sakshyam Panda; Emmanouil Panaousis; George Loukas; Konstantinos Kentrotis,2023,ARES,https://doi.org/10.1145/3600160.3605073,https://dblp.org/db/conf/IEEEares/ares2023.html#PandaPLK23
Lightweight Privacy-Preserving Ride-Sharing Protocols for Autonomous Cars.,ROBOT;PRIVACY,Sara Ramezanian; Gizem Akman; Mohamed Taoufiq Damir; Valtteri Niemi,2022,CSCS,https://doi.org/10.1145/3568160.3570234,https://dblp.org/db/conf/cscs2/cscs2022.html#RamezanianADN22
Privacy Threat Analysis for connected and autonomous vehicles.,ROBOT;PRIVACY,Badreddine Chah; Alexandre Lombard; Anis Bkakria; Reda Yaich; Abdeljalil Abbas-Turki; St,2022,EUSPN/ICTH,https://doi.org/10.1016/j.procs.2022.10.117,https://dblp.org/db/conf/euspn/euspn2022.html#ChahLBYAG22
Autonomous Vehicle Security Through Privacy Integrated Context Ontology(PICO).,ROBOT;PRIVACY,Benjamin Yankson,2020,SMC,https://doi.org/10.1109/SMC42975.2020.9283180,https://dblp.org/db/conf/smc/smc2020.html#Yankson20
Preliminary Tendencies of Users' Expectations about Privacy on Connected-Autonomous Vehicles.,ROBOT;PRIVACY,Andr; Ben Singh; Patrick C. K. Hung; Annie Jiang; Yen-Hung Liu; Anna Priscilla de Albuquerque; Hossam A. Gaber,2020,SMC,https://doi.org/10.1109/SMC42975.2020.9282844,https://dblp.org/db/conf/smc/smc2020.html#SalgadoSHJLAG20
Privacy-Preserving Ride Sharing Organization Scheme for Autonomous Vehicles in Large Cities.,ROBOT;PRIVACY,Ahmed B. T. Sherif; Ahmad Alsharif; Jacob Moran; Mohamed Mahmoud 0001,2017,VTC Fall,https://doi.org/10.1109/VTCFall.2017.8288210,https://dblp.org/db/conf/vtc/vtc2017f.html#SherifAMM17
Privacy-Preserving Time-Sharing Services for Autonomous Vehicles.,ROBOT;PRIVACY,Mohammad Hadian; Thamer Altuwaiyan; Xiaohui Liang,2017,VTC Fall,https://doi.org/10.1109/VTCFall.2017.8288280,https://dblp.org/db/conf/vtc/vtc2017f.html#HadianAL17
Emerging Privacy and Trust Issues for Autonomous Vehicle Systems.,ROBOT;PRIVACY,Thai-Hung Nguyen; Truong Giang Vu; Huong-Lan Tran; Kok-Seng Wong,2022,ICOIN,https://doi.org/10.1109/ICOIN53446.2022.9687196,https://dblp.org/db/conf/icoin/icoin2022.html#NguyenVTW22
Efficient and Privacy-Preserving Roadmap Data Update for Autonomous Vehicles.,ROBOT;PRIVACY,Haoyu Wang; Mohammad Hadian; Xiaohui Liang,2018,GLOBECOM,https://doi.org/10.1109/GLOCOM.2018.8648036,https://dblp.org/db/conf/globecom/globecom2018.html#WangHL18
